Lambert Airport Terminal # 1,Lambert Airport Terminal # 2,North Hanley Station,UMSL North Station,UMSL South Station,Rock Road Station,Wellston Station,Delmar Loop Station,ShrewsburyLansdowne I44 Station,Sunnen Station,MaplewoodManchester Station,Brentwood I64 Station,Richmond Heights Station,Clayton Station,Forsyth Station,University CityBig Bend Station,Skinker Station,Forest ParkDeBaliviere Station,Central West End Station,Cortex Station,Grand Station,Union Station,Civic Center Station,Stadium Station,8th & Pine Station,Convention Center Station,Laclede's Landing Station,East Riverfront Station,5th & Missouri Station,Emerson Park Station,JJK Center Station,Washington Park Station,Fairview Heights Station,Memorial Hospital Station,Swansea Station,Belleville Station,College Station,ShilohScott Station
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:16AR,4:22AR,4:27AR,4:32AR,4:35AR,4:41AR,4:47AR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:42AR,4:47AR,4:51AR,4:55AR,4:57AR,5:02AR,5:07AR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:02AR,5:07AR,5:11AR,5:15AR,5:17AR,5:22AR,5:27AR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:22AR,5:27AR,5:31AR,5:35AR,5:37AR,5:42AR,5:47AR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:40AR,5:45AR,5:49AR,5:53AR,5:55AR,6:00AR,6:05AR
4:56AR,4:58AR,5:03AR,5:05AR,5:07AR,5:09AR,5:11AR,5:13AR,,,,,,,,,,5:15AR,5:18AR,5:20AR,5:22AR,5:26AR,5:27AR,5:29AR,5:30AR,5:32AR,5:33AR,5:34AR,5:37AR,5:40AR,5:42AR,5:45AR,5:50AR,5:54AR,5:58AR,6:00AR,6:05AR,6:10AR
,,,,,,,,5:08AB,5:11AB,5:12AB,5:14AB,5:16AB,5:18AB,5:19AB,5:21AB,5:23AB,5:25AB,5:28AB,5:30AB,5:32AB,5:36AB,5:37AB,5:39AB,5:40AB,5:42AB,5:43AB,5:44AB,5:47AB,5:50AB,5:52AB,5:55AB,6:00AB,,,,,
5:16AR,5:18AR,5:23AR,5:25AR,5:27AR,5:29AR,5:31AR,5:33AR,,,,,,,,,,5:35AR,5:38AR,5:40AR,5:42AR,5:46AR,5:47AR,5:49AR,5:50AR,5:52AR,5:53AR,5:54AR,5:57AR,6:00AR,6:02AR,6:05AR,6:10AR,6:14AR,6:18AR,6:20AR,6:25AR,6:30AR
,,,,,,,,5:28AB,5:31AB,5:32AB,5:34AB,5:36AB,5:38AB,5:39AB,5:41AB,5:43AB,5:45AB,5:48AB,5:50AB,5:52AB,5:56AB,5:57AB,5:59AB,6:00AB,6:02AB,6:03AB,6:04AB,6:07AB,6:10AB,6:12AB,6:15AB,6:20AB,,,,,
5:36AR,5:38AR,5:43AR,5:45AR,5:47AR,5:49AR,5:51AR,5:53AR,,,,,,,,,,5:55AR,5:58AR,6:00AR,6:02AR,6:06AR,6:07AR,6:09AR,6:10AR,6:12AR,6:13AR,6:14AR,6:17AR,6:20AR,6:22AR,6:25AR,6:30AR,6:34AR,6:38AR,6:40AR,6:45AR,6:50AR
,,,,,,,,5:48AB,5:51AB,5:52AB,5:54AB,5:56AB,5:58AB,5:59AB,6:01AB,6:03AB,6:05AB,6:08AB,6:10AB,6:12AB,6:16AB,6:17AB,6:19AB,6:20AB,6:22AB,6:23AB,6:24AB,6:27AB,6:30AB,6:32AB,6:35AB,6:40AB,,,,,
5:56AR,5:58AR,6:03AR,6:05AR,6:07AR,6:09AR,6:11AR,6:13AR,,,,,,,,,,6:15AR,6:18AR,6:20AR,6:22AR,6:26AR,6:27AR,6:29AR,6:30AR,6:32AR,6:33AR,6:34AR,6:37AR,6:40AR,6:42AR,6:45AR,6:50AR,6:54AR,6:58AR,7:00AR,7:05AR,7:10AR
,,,,,,,,6:08AB,6:11AB,6:12AB,6:14AB,6:16AB,6:18AB,6:19AB,6:21AB,6:23AB,6:25AB,6:28AB,6:30AB,6:32AB,6:36AB,6:37AB,6:39AB,6:40AB,6:42AB,6:43AB,6:44AB,6:47AB,6:50AB,6:52AB,6:55AB,7:00AB,,,,,
6:16AR,6:18AR,6:23AR,6:25AR,6:27AR,6:29AR,6:31AR,6:33AR,,,,,,,,,,6:35AR,6:38AR,6:40AR,6:42AR,6:46AR,6:47AR,6:49AR,6:50AR,6:52AR,6:53AR,6:54AR,6:57AR,7:00AR,7:02AR,7:05AR,7:10AR,7:14AR,7:18AR,7:20AR,7:25AR,7:30AR
,,,,,,,,6:28AB,6:31AB,6:32AB,6:34AB,6:36AB,6:38AB,6:39AB,6:41AB,6:43AB,6:45AB,6:48AB,6:50AB,6:52AB,6:56AB,6:57AB,6:59AB,7:00AB,7:02AB,7:03AB,7:04AB,7:07AB,7:10AB,7:12AB,7:15AB,7:20AB,,,,,
6:36AR,6:38AR,6:43AR,6:45AR,6:47AR,6:49AR,6:51AR,6:53AR,,,,,,,,,,6:55AR,6:58AR,7:00AR,7:02AR,7:06AR,7:07AR,7:09AR,7:10AR,7:12AR,7:13AR,7:14AR,7:17AR,7:20AR,7:22AR,7:25AR,7:30AR,7:34AR,7:38AR,7:40AR,7:45AR,7:50AR
,,,,,,,,6:48AB,6:51AB,6:52AB,6:54AB,6:56AB,6:58AB,6:59AB,7:01AB,7:03AB,7:05AB,7:08AB,7:10AB,7:12AB,7:16AB,7:17AB,7:19AB,7:20AB,7:22AB,7:23AB,7:24AB,7:27AB,7:30AB,7:32AB,7:35AB,7:40AB,,,,,
6:56AR,6:58AR,7:03AR,7:05AR,7:07AR,7:09AR,7:11AR,7:13AR,,,,,,,,,,7:15AR,7:18AR,7:20AR,7:22AR,7:26AR,7:27AR,7:29AR,7:30AR,7:32AR,7:33AR,7:34AR,7:37AR,7:40AR,7:42AR,7:45AR,7:50AR,7:54AR,7:58AR,8:00AR,8:05AR,8:10AR
