ShilohScott Station,College Station,Belleville Station,Swansea Station,Memorial Hospital Station,Fairview Heights Station,Washington Park Station,JJK Center Station,Emerson Park Station,5th & Missouri Station,East Riverfront Station,Laclede's Landing Station,Convention Center Station,8th & Pine Station,Stadium Station,Civic Center Station,Union Station,Grand Station,Cortex Station,Central West End Station,Forest ParkDeBaliviere Station,Skinker Station,University CityBig Bend Station,Forsyth Station,Clayton Station,Richmond Heights Station,Brentwood I64 Station,MaplewoodManchester Station,Sunnen Station,ShrewsburyLansdowne I44 Station,Delmar Loop Station,Wellston Station,Rock Road Station,UMSL South Station,UMSL North Station,North Hanley Station,Lambert Airport Terminal # 2,Lambert Airport Terminal # 1
,,,,,,,3:56AR,3:59AR,4:03AR,4:06AR,4:07AR,4:08AR,4:11AR,4:12AR,4:14AR,4:15AR,4:19AR,4:21AR,4:23AR,4:26AR,,,,,,,,,,4:29AR,4:31AR,4:34AR,4:37AR,4:39AR,4:41AR,4:47AR,4:49AR
,,,,,,,4:09AB,4:11AB,4:14AB,4:17AB,4:18AB,4:19AB,4:21AB,4:22AB,4:24AB,4:25AB,4:29AB,4:31AB,4:33AB,4:36AB,4:40AB,4:43AB,4:46AB,4:47AB,4:50AB,4:53AB,4:56AB,4:58AB,5:01AB,,,,,,,,
,,,,,,,4:22AR,4:24AR,4:27AR,4:30AR,4:31AR,4:32AR,4:34AR,4:35AR,4:37AR,4:38AR,4:42AR,4:44AR,4:46AR,4:49AR,,,,,,,,,,4:52AR,4:54AR,4:56AR,4:58AR,5:00AR,5:02AR,5:07AR,5:09AR
,,,,,,,4:32AB,4:34AB,4:37AB,4:40AB,4:41AB,4:42AB,4:44AB,4:45AB,4:47AB,4:48AB,4:52AB,4:54AB,4:56AB,4:59AB,5:03AB,5:06AB,5:09AB,5:10AB,5:12AB,5:14AB,5:16AB,5:17AB,5:20AB,,,,,,,,
,,,,,,,4:37AR,4:39AR,4:42AR,4:45AR,4:46AR,4:47AR,4:49AR,4:50AR,4:52AR,4:53AR,4:57AR,4:59AR,5:01AR,5:04AR,,,,,,,,,,5:07AR,5:09AR,5:11AR,5:13AR,5:15AR,5:17AR,5:22AR,5:24AR
,,,,,,,4:42AB,4:44AB,4:47AB,4:50AB,4:51AB,4:52AB,4:54AB,4:55AB,4:57AB,4:58AB,5:02AB,5:04AB,5:06AB,5:09AB,5:13AB,5:16AB,5:19AB,5:20AB,5:22AB,5:24AB,5:26AB,5:27AB,5:30AB,,,,,,,,
,,,,,,,4:55AR,4:57AR,5:00AR,5:03AR,5:04AR,5:05AR,5:07AR,5:08AR,5:10AR,5:11AR,5:15AR,5:17AR,5:19AR,5:22AR,,,,,,,,,,5:25AR,5:27AR,5:29AR,5:31AR,5:33AR,5:35AR,5:40AR,5:42AR
,,,,,,,5:00AB,5:02AB,5:05AB,5:08AB,5:09AB,5:10AB,5:12AB,5:13AB,5:15AB,5:16AB,5:20AB,5:22AB,5:24AB,5:27AB,5:31AB,5:34AB,5:37AB,5:38AB,5:40AB,5:42AB,5:44AB,5:45AB,5:48AB,,,,,,,,
4:43AR,4:48AR,4:53AR,4:55AR,4:59AR,5:03AR,5:08AR,5:11AR,5:13AR,5:16AR,5:19AR,5:20AR,5:21AR,5:23AR,5:24AR,5:26AR,5:27AR,5:31AR,5:33AR,5:35AR,5:38AR,,,,,,,,,,5:41AR,5:43AR,5:45AR,5:47AR,5:49AR,5:51AR,5:56AR,5:58AR
,,,,,5:12AB,5:17AB,5:20AB,5:22AB,5:25AB,5:28AB,5:29AB,5:30AB,5:32AB,5:33AB,5:35AB,5:36AB,5:40AB,5:42AB,5:44AB,5:47AB,5:51AB,5:54AB,5:57AB,5:58AB,6:00AB,6:02AB,6:04AB,6:05AB,6:08AB,,,,,,,,
5:03AR,5:08AR,5:13AR,5:15AR,5:19AR,5:23AR,5:28AR,5:31AR,5:33AR,5:36AR,5:39AR,5:40AR,5:41AR,5:43AR,5:44AR,5:46AR,5:47AR,5:51AR,5:53AR,5:55AR,5:58AR,,,,,,,,,,6:01AR,6:03AR,6:05AR,6:07AR,6:09AR,6:11AR,6:16AR,6:18AR
,,,,,5:32AB,5:37AB,5:40AB,5:42AB,5:45AB,5:48AB,5:49AB,5:50AB,5:52AB,5:53AB,5:55AB,5:56AB,6:00AB,6:02AB,6:04AB,6:07AB,6:11AB,6:14AB,6:17AB,6:18AB,6:20AB,6:22AB,6:24AB,6:25AB,6:28AB,,,,,,,,
5:23AR,5:28AR,5:33AR,5:35AR,5:39AR,5:43AR,5:48AR,5:51AR,5:53AR,5:56AR,5:59AR,6:00AR,6:01AR,6:03AR,6:04AR,6:06AR,6:07AR,6:11AR,6:13AR,6:15AR,6:18AR,,,,,,,,,,6:21AR,6:23AR,6:25AR,6:27AR,6:29AR,6:31AR,6:36AR,6:38AR
,,,,,5:52AB,5:57AB,6:00AB,6:02AB,6:05AB,6:08AB,6:09AB,6:10AB,6:12AB,6:13AB,6:15AB,6:16AB,6:20AB,6:22AB,6:24AB,6:27AB,6:31AB,6:34AB,6:37AB,6:38AB,6:40AB,6:42AB,6:44AB,6:45AB,6:48AB,,,,,,,,
5:43AR,5:48AR,5:53AR,5:55AR,5:59AR,6:03AR,6:08AR,6:11AR,6:13AR,6:16AR,6:19AR,6:20AR,6:21AR,6:23AR,6:24AR,6:26AR,6:27AR,6:31AR,6:33AR,6:35AR,6:38AR,,,,,,,,,,6:41AR,6:43AR,6:45AR,6:47AR,6:49AR,6:51AR,6:56AR,6:58AR
